PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,INJURY TYPE
D.J. Wilson,Bucks,19 May 2019,21 May 2019,2,Sore Left Ankle
Raul Neto,Jazz,05 April 2019,14 April 2019,9,Sore Left Ankle
Rudy Gobert,Jazz,10 April 2019,14 April 2019,4,Sore Left Ankle
Aron Baynes,Celtics,09 April 2019,13 April 2019,4,Sore Left Ankle
Gordon Hayward,Celtics,09 April 2019,13 April 2019,4,Sore Left Ankle
Danilo Gallinari,Clippers,07 April 2019,10 April 2019,3,Sore Left Ankle
Danilo Gallinari,Clippers,30 March 2019,31 March 2019,1,Sore Left Ankle
Danilo Gallinari,Clippers,12 March 2019,15 March 2019,3,Sore Left Ankle
Luka Doncic,Mavericks,31 January 2019,2 February 2019,2,Sore Left Ankle
DeMar DeRozan,Spurs,18 January 2019,20 January 2019,2,Sore Left Ankle
Joel Embiid,76ers,11 January 2019,13 January 2019,2,Sore Left Ankle
J.J. Barea,Mavericks,05 January 2019,7 January 2019,2,Sore Left Ankle
Derrick Rose,Timberwolves,23 December 2018,26 December 2018,3,Sore Left Ankle
Gary Harris,Nuggets,24 November 2018,30 November 2018,6,Sore Left Ankle
Gordon Hayward,Celtics,24 November 2018,26 November 2018,2,Sore Left Ankle
Myles Turner,Pacers,23 November 2018,26 November 2018,3,Sore Left Ankle
Kawhi Leonard,Raptors,04 November 2018,7 November 2018,3,Sore Left Ankle
Derrick Rose,Timberwolves,04 November 2018,5 November 2018,1,Sore Left Ankle
Wayne Ellington,Heat,17 October 2018,27 October 2018,10,Sore Left Ankle
Jared Dudley,Suns,30 March 2018,6 April 2018,7,Sore Left Ankle
Eric Bledsoe,Bucks,01 February 2018,2 February 2018,1,Sore Left Ankle
Rodney Hood,Jazz,07 December 2017,13 December 2017,6,Sore Left Ankle
Rodney Hood,Jazz,01 December 2017,7 December 2017,6,Sore Left Ankle
Aaron Gordon,Magic,20 October 2017,24 October 2017,4,Sore Left Ankle
DeMarre Carroll,Raptors,11 March 2017,16 March 2017,5,Sore Left Ankle
Will Barton,Nuggets,01 February 2017,3 February 2017,2,Sore Left Ankle
Taj Gibson,Bulls,29 January 2017,1 February 2017,3,Sore Left Ankle
Taj Gibson,Bulls,17 January 2017,20 January 2017,3,Sore Left Ankle
Lance Thomas,Knicks,14 November 2016,2 December 2016,18,Sore Left Ankle
Will Barton,Nuggets,25 November 2016,27 November 2016,2,Sore Left Ankle
Paul George,Pacers,18 November 2016,23 November 2016,5,Sore Left Ankle
Nicolas Batum,Hornets,13 April 2016,17 April 2016,4,Sore Left Ankle
Patrick Patterson,Raptors,20 March 2016,25 March 2016,5,Sore Left Ankle
Tobias Harris,Pistons,07 February 2016,19 February 2016,12,Sore Left Ankle
Derrick Rose,Bulls,18 November 2015,24 November 2015,6,Sore Left Ankle
Jeff Teague,Hawks,15 November 2015,21 November 2015,6,Sore Left Ankle
Dewayne Dedmon,Magic,27 March 2015,1 April 2015,5,Sore Left Ankle
Taj Gibson,Bulls,01 March 2015,20 March 2015,19,Sore Left Ankle
Nikola Vucevic,Magic,06 March 2015,10 March 2015,4,Sore Left Ankle
Victor Oladipo,Magic,08 March 2014,10 March 2014,2,Sore Left Ankle
Bradley Beal,Wizards,29 March 2013,31 March 2013,2,Sore Left Ankle
Wilson Chandler,Nuggets,11 April 2011,13 April 2011,2,Sore Left Ankle
Kemba Walker,Celtics,27 March 2021,29 March 2021,2,Left Knee Injury
Blake Griffin,Nets,24 March 2021,25 March 2021,1,Left Knee Injury
Kemba Walker,Celtics,22 March 2021,23 March 2021,1,Left Knee Injury
Blake Griffin,Nets,10 March 2021,21 March 2021,11,Left Knee Injury
Kemba Walker,Celtics,17 March 2021,19 March 2021,2,Left Knee Injury
Blake Griffin,Pistons,14 February 2021,5 March 2021,19,Left Knee Injury
Kemba Walker,Celtics,24 February 2021,26 February 2021,2,Left Knee Injury
Kemba Walker,Celtics,17 February 2021,19 February 2021,2,Left Knee Injury
Patrick McCaw,Raptors,22 December 2020,19 February 2021,59,Left Knee Injury
Kemba Walker,Celtics,12 February 2021,14 February 2021,2,Left Knee Injury
Derrick Rose,Knicks,05 February 2021,9 February 2021,4,Left Knee Injury
James Johnson,Mavericks,06 February 2021,8 February 2021,2,Left Knee Injury
Kemba Walker,Celtics,03 February 2021,4 February 2021,1,Left Knee Injury
Blake Griffin,Pistons,27 January 2021,28 January 2021,1,Left Knee Injury
Kemba Walker,Celtics,25 January 2021,27 January 2021,2,Left Knee Injury
Pascal Siakam,Raptors,24 January 2021,27 January 2021,3,Left Knee Injury
Blake Griffin,Pistons,23 January 2021,25 January 2021,2,Left Knee Injury
Kemba Walker,Celtics,23 December 2020,17 January 2021,25,Left Knee Injury
Blake Griffin,Pistons,27 December 2020,29 December 2020,2,Left Knee Injury
Rondae Hollis-Jefferson,Raptors,21 August 2020,23 August 2020,2,Left Knee Injury
Kemba Walker,Celtics,12 August 2020,17 August 2020,5,Left Knee Injury
Kristaps Porzingis,Mavericks,09 August 2020,11 August 2020,2,Left Knee Injury
Andre Roberson,Thunder,23 October 2019,31 July 2020,282,Left Knee Injury
Jonathan Isaac,Magic,03 January 2020,31 July 2020,210,Left Knee Injury
D.J. Augustin,Magic,15 January 2020,21 February 2020,37,Left Knee Injury
Bruno Caboclo,Rockets,14 January 2020,20 February 2020,37,Left Knee Injury
Seth Curry,Mavericks,03 February 2020,7 February 2020,4,Left Knee Injury
Christian Wood,Pistons,20 December 2019,23 December 2019,3,Left Knee Injury
Shake Milton,76ers,30 October 2019,12 November 2019,13,Left Knee Injury
Hassan Whiteside,Blazers,02 November 2019,4 November 2019,2,Left Knee Injury
CJ McCollum,Blazers,18 March 2019,7 April 2019,20,Left Knee Injury
Moe Harkless,Blazers,15 March 2019,16 March 2019,1,Left Knee Injury
Evan Turner,Blazers,09 March 2019,12 March 2019,3,Left Knee Injury
Maxi Kleber,Mavericks,06 March 2019,10 March 2019,4,Left Knee Injury
Josh Hart,Lakers,05 February 2019,7 February 2019,2,Left Knee Injury
Moe Harkless,Blazers,08 January 2019,18 January 2019,10,Left Knee Injury
Marvin Bagley III,Kings,16 December 2018,7 January 2019,22,Left Knee Injury
Moe Harkless,Blazers,05 January 2019,7 January 2019,2,Left Knee Injury
Moe Harkless,Blazers,30 December 2018,1 January 2019,2,Left Knee Injury
Brandon Knight,Rockets,17 October 2018,13 December 2018,57,Left Knee Injury
Pat Connaughton,Bucks,10 December 2018,12 December 2018,2,Left Knee Injury
Ante Zizic,Cavaliers,05 December 2018,7 December 2018,2,Left Knee Injury
Dwight Powell,Mavericks,19 November 2018,28 November 2018,9,Left Knee Injury
Moe Harkless,Blazers,29 October 2018,21 November 2018,23,Left Knee Injury
Bogdan Bogdanovic,Kings,17 October 2018,7 November 2018,21,Left Knee Injury
Danilo Gallinari,Nuggets,16 March 2017,24 March 2017,8,Left Knee Injury
Reggie Jackson,Pistons,26 October 2016,2 December 2016,37,Left Knee Injury
Mike Scott,Hawks,27 October 2016,30 November 2016,34,Left Knee Injury
Kevin Love,Cavaliers,10 March 2016,13 March 2016,3,Left Knee Injury
Marcus Smart,Celtics,22 November 2015,27 December 2015,35,Left Knee Injury
Joakim Noah,Bulls,11 March 2015,13 March 2015,2,Left Knee Injury
Patrick Patterson,Raptors,23 February 2015,24 February 2015,1,Left Knee Injury
Kemba Walker,Hornets,19 January 2015,21 January 2015,2,Left Knee Injury
Nicolas Batum,Blazers,19 December 2014,20 December 2014,1,Left Knee Injury
Ersan Ilyasova,Bucks,09 March 2013,10 March 2013,1,Left Knee Injury
Kawhi Leonard,Spurs,23 January 2013,25 January 2013,2,Left Knee Injury
Nicolas Batum,Blazers,01 February 2012,4 February 2012,3,Left Knee Injury
Robert Williams,Celtics,31 March 2021,1 April 2021,1,Illness
Christian Wood,Rockets,29 March 2021,31 March 2021,2,Illness
Luka Doncic,Mavericks,27 March 2021,28 March 2021,1,Illness
Draymond Green,Warriors,25 March 2021,26 March 2021,1,Illness
Jimmy Butler,Heat,25 March 2021,26 March 2021,1,Illness
Jayson Tatum,Celtics,22 March 2021,23 March 2021,1,Illness
JaVale McGee,Cavaliers,19 March 2021,21 March 2021,2,Illness
Michael Carter-Williams,Magic,19 March 2021,21 March 2021,2,Illness
Moe Harkless,Heat,17 March 2021,18 March 2021,1,Illness
Dwight Powell,Mavericks,15 March 2021,17 March 2021,2,Illness
Trent Forrest,Jazz,12 March 2021,14 March 2021,2,Illness
Frank Jackson,Pistons,26 February 2021,10 March 2021,12,Illness
Josh Jackson,Pistons,03 March 2021,10 March 2021,7,Illness
Kyle Anderson,Grizzlies,02 March 2021,3 March 2021,1,Illness
Austin Rivers,Knicks,21 February 2021,24 February 2021,3,Illness
Stephen Curry,Warriors,20 February 2021,23 February 2021,3,Illness
Ben Simmons,76ers,17 February 2021,21 February 2021,4,Illness
Frank Jackson,Pistons,09 February 2021,21 February 2021,12,Illness
CJ Elleby,Blazers,11 February 2021,12 February 2021,1,Illness
Juwan Morgan,Jazz,07 February 2021,9 February 2021,2,Illness
Serge Ibaka,Clippers,17 January 2021,19 January 2021,2,Illness
Trey Burke,Mavericks,06 January 2021,9 January 2021,3,Illness
Edmond Sumner,Pacers,26 December 2020,29 December 2020,3,Illness
Robert Williams,Celtics,25 December 2020,27 December 2020,2,Illness
Evan Fournier,Magic,09 August 2020,18 August 2020,9,Illness
Emmanuel Mudiay,Jazz,11 March 2020,30 July 2020,141,Illness
Terry Rozier,Hornets,11 March 2020,29 July 2020,140,Illness
Michael Kidd-Gilchrist,Mavericks,08 March 2020,11 March 2020,3,Illness
Willie Cauley-Stein,Mavericks,10 March 2020,11 March 2020,1,Illness
Marco Belinelli,Spurs,03 March 2020,9 March 2020,6,Illness
Tim Hardaway Jr.,Mavericks,06 March 2020,8 March 2020,2,Illness
Jayson Tatum,Celtics,03 March 2020,4 March 2020,1,Illness
Reggie Bullock,Knicks,29 February 2020,4 March 2020,4,Illness
Anzejs Pasecniks,Wizards,28 February 2020,1 March 2020,2,Illness
Thabo Sefolosha,Rockets,26 February 2020,27 February 2020,1,Illness
Mike Conley,Jazz,12 February 2020,21 February 2020,9,Illness
Mo Bamba,Magic,12 February 2020,20 February 2020,8,Illness
Allonzo Trier,Knicks,06 February 2020,12 February 2020,6,Illness
Nicolas Batum,Hornets,08 February 2020,12 February 2020,4,Illness
Serge Ibaka,Raptors,10 February 2020,12 February 2020,2,Illness
Markieff Morris,Pistons,05 February 2020,10 February 2020,5,Illness
Damyean Dotson,Knicks,06 February 2020,8 February 2020,2,Illness
Terrance Ferguson,Thunder,18 January 2020,5 February 2020,18,Illness
Myles Turner,Pacers,26 January 2020,31 January 2020,5,Illness
Tony Snell,Pistons,24 January 2020,29 January 2020,5,Illness
Robin Lopez,Bucks,18 January 2020,27 January 2020,9,Illness
Sterling Brown,Bucks,24 January 2020,27 January 2020,3,Illness
Goga Bitadze,Pacers,24 January 2020,26 January 2020,2,Illness
Bruce Brown,Pistons,22 January 2020,25 January 2020,3,Illness
DeMarre Carroll,Spurs,20 January 2020,23 January 2020,3,Illness
Draymond Green,Warriors,20 January 2020,22 January 2020,2,Illness
Rudy Gay,Spurs,17 January 2020,22 January 2020,5,Illness
Donovan Mitchell,Jazz,12 January 2020,14 January 2020,2,Illness
Dante Exum,Cavaliers,07 January 2020,13 January 2020,6,Illness
Hassan Whiteside,Blazers,11 January 2020,13 January 2020,2,Illness
LeBron James,Lakers,11 January 2020,13 January 2020,2,Illness
Romeo Langford,Celtics,06 January 2020,12 January 2020,6,Illness
George Hill,Bucks,08 January 2020,9 January 2020,1,Illness
Kemba Walker,Celtics,03 January 2020,8 January 2020,5,Illness
Michael Kidd-Gilchrist,Hornets,06 January 2020,8 January 2020,2,Illness
Tristan Thompson,Cavaliers,05 January 2020,7 January 2020,2,Illness
CJ McCollum,Blazers,05 January 2020,6 January 2020,1,Illness
Andrew Wiggins,Timberwolves,30 December 2019,5 January 2020,6,Illness
Dion Waiters,Heat,03 January 2020,5 January 2020,2,Illness
Treveon Graham,Timberwolves,02 January 2020,5 January 2020,3,Illness
Willie Cauley-Stein,Warriors,31 December 2019,4 January 2020,4,Illness
Cristiano Felicio,Bulls,28 December 2019,3 January 2020,6,Illness
Jaylen Brown,Celtics,31 December 2019,3 January 2020,3,Illness
Montrezl Harrell,Clippers,28 December 2019,30 December 2019,2,Illness
Omari Spellman,Warriors,28 December 2019,30 December 2019,2,Illness
Sekou Doumbouya,Pistons,26 December 2019,30 December 2019,4,Illness
Trevor Ariza,Kings,28 December 2019,29 December 2019,1,Illness
Thabo Sefolosha,Rockets,23 December 2019,28 December 2019,5,Illness
Shabazz Napier,Timberwolves,23 December 2019,26 December 2019,3,Illness
Taj Gibson,Knicks,23 December 2019,26 December 2019,3,Illness
Dion Waiters,Heat,06 December 2019,24 December 2019,18,Illness
Ricky Rubio,Suns,21 December 2019,23 December 2019,2,Illness
Tyler Johnson,Suns,17 December 2019,20 December 2019,3,Illness
James Johnson,Heat,10 December 2019,19 December 2019,9,Illness
Alize Johnson,Pacers,17 December 2019,18 December 2019,1,Illness
Joel Embiid,76ers,15 December 2019,17 December 2019,2,Illness
Tony Bradley,Jazz,13 December 2019,16 December 2019,3,Illness
Tyson Chandler,Rockets,09 December 2019,15 December 2019,6,Illness
Dennis Smith Jr.,Knicks,11 December 2019,13 December 2019,2,Illness
Keita Bates-Diop,Timberwolves,11 December 2019,13 December 2019,2,Illness
Markelle Fultz,Magic,11 December 2019,13 December 2019,2,Illness
Kevin Love,Cavaliers,06 December 2019,7 December 2019,1,Illness
Marcus Smart,Celtics,04 December 2019,6 December 2019,2,Illness
Trey Burke,76ers,02 December 2019,5 December 2019,3,Illness
Cheick Diallo,Suns,02 December 2019,4 December 2019,2,Illness
Clint Capela,Rockets,27 November 2019,3 December 2019,6,Illness
Jonas Valanciunas,Grizzlies,01 December 2019,2 December 2019,1,Illness
Thanasis Antetokounmpo,Bucks,27 November 2019,2 December 2019,5,Illness
Jimmy Butler,Heat,27 November 2019,29 November 2019,2,Illness
Shake Milton,76ers,27 November 2019,28 November 2019,1,Illness
Daniel Theis,Celtics,25 November 2019,27 November 2019,2,Illness
James Johnson,Heat,25 November 2019,27 November 2019,2,Illness
Udonis Haslem,Heat,25 November 2019,27 November 2019,2,Illness
Nerlens Noel,Thunder,22 November 2019,25 November 2019,3,Illness
Seth Curry,Mavericks,20 November 2019,24 November 2019,4,Illness
Andrew Wiggins,Timberwolves,17 November 2019,20 November 2019,3,Illness
Goran Dragic,Heat,16 November 2019,20 November 2019,4,Illness
James Johnson,Heat,12 November 2019,14 November 2019,2,Illness
Malik Beasley,Nuggets,12 November 2019,14 November 2019,2,Illness
Jeff Teague,Timberwolves,06 November 2019,13 November 2019,7,Illness
Romeo Langford,Celtics,05 November 2019,11 November 2019,6,Illness
Jaylen Brown,Celtics,30 October 2019,7 November 2019,8,Illness
Austin Rivers,Rockets,28 April 2019,30 April 2019,2,Illness
Mario Hezonja,Knicks,09 April 2019,10 April 2019,1,Illness
Tyson Chandler,Lakers,27 March 2019,4 April 2019,8,Illness
Marvin Bagley III,Kings,31 March 2019,2 April 2019,2,Illness
Nemanja Bjelica,Kings,29 March 2019,31 March 2019,2,Illness
Nicolas Batum,Hornets,23 March 2019,29 March 2019,6,Illness
Kadeem Allen,Knicks,20 March 2019,22 March 2019,2,Illness
Shabazz Napier,Nets,19 March 2019,22 March 2019,3,Illness
Ersan Ilyasova,Bucks,19 March 2019,20 March 2019,1,Illness
Robert Williams,Celtics,18 March 2019,20 March 2019,2,Illness
Daniel Theis,Celtics,14 March 2019,16 March 2019,2,Illness
Terry Rozier,Celtics,14 March 2019,16 March 2019,2,Illness
Marvin Williams,Hornets,11 March 2019,15 March 2019,4,Illness
Rudy Gay,Spurs,10 March 2019,15 March 2019,5,Illness
Andre Iguodala,Warriors,28 February 2019,2 March 2019,2,Illness
Trey Burke,Mavericks,27 February 2019,2 March 2019,3,Illness
Derrick Jones Jr.,Heat,25 February 2019,27 February 2019,2,Illness
Maxi Kleber,Mavericks,23 February 2019,25 February 2019,2,Illness
Andrew Wiggins,Timberwolves,11 February 2019,21 February 2019,10,Illness
Robert Williams,Celtics,13 February 2019,21 February 2019,8,Illness
Terry Rozier,Celtics,13 February 2019,21 February 2019,8,Illness
Devonte' Graham,Hornets,11 February 2019,14 February 2019,3,Illness
Mike Conley,Grizzlies,12 February 2019,13 February 2019,1,Illness
Kostas Antetokounmpo,Mavericks,08 February 2019,9 February 2019,1,Illness
Trey Burke,Mavericks,02 February 2019,6 February 2019,4,Illness
Abdel Nader,Thunder,03 February 2019,5 February 2019,2,Illness
Mitchell Robinson,Knicks,03 February 2019,5 February 2019,2,Illness
Klay Thompson,Warriors,31 January 2019,2 February 2019,2,Illness
Trey Burke,Knicks,21 January 2019,23 January 2019,2,Illness
Dennis Smith Jr.,Mavericks,16 January 2019,22 January 2019,6,Illness
Enes Kanter,Knicks,11 January 2019,21 January 2019,10,Illness
Josh Richardson,Heat,18 January 2019,19 January 2019,1,Illness
Marcus Smart,Celtics,14 January 2019,16 January 2019,2,Illness
Hassan Whiteside,Heat,12 January 2019,15 January 2019,3,Illness
Anthony Davis,Pelicans,31 December 2018,2 January 2019,2,Illness
James Johnson,Heat,30 December 2018,2 January 2019,3,Illness
Richaun Holmes,Suns,31 December 2018,2 January 2019,2,Illness
Terrance Ferguson,Thunder,30 December 2018,31 December 2018,1,Illness
Udonis Haslem,Heat,28 December 2018,30 December 2018,2,Illness
Tim Hardaway Jr.,Knicks,27 December 2018,29 December 2018,2,Illness
Kyle O'Quinn,Pacers,26 December 2018,28 December 2018,2,Illness
John Wall,Wizards,22 December 2018,23 December 2018,1,Illness
Chandler Hutchison,Bulls,13 December 2018,15 December 2018,2,Illness
Gordon Hayward,Celtics,10 December 2018,14 December 2018,4,Illness
Jaylen Brown,Celtics,12 December 2018,14 December 2018,2,Illness
Mike Muscala,76ers,12 December 2018,14 December 2018,2,Illness
Domantas Sabonis,Pacers,07 December 2018,8 December 2018,1,Illness
Nerlens Noel,Thunder,19 November 2018,21 November 2018,2,Illness
Zach LaVine,Bulls,17 November 2018,21 November 2018,4,Illness
Danilo Gallinari,Clippers,19 November 2018,20 November 2018,1,Illness
Derrick Jones Jr.,Heat,14 November 2018,16 November 2018,2,Illness
Jarrett Allen,Nets,12 November 2018,16 November 2018,4,Illness
Michael Carter-Williams,Rockets,07 November 2018,10 November 2018,3,Illness
Matthew Dellavedova,Bucks,24 October 2018,26 October 2018,2,Illness
Reggie Bullock,Pistons,17 October 2018,20 October 2018,3,Illness
Lance Thomas,Knicks,06 April 2018,7 April 2018,1,Illness
Frank Ntilikina,Knicks,31 March 2018,3 April 2018,3,Illness
Wes Iwundu,Magic,28 March 2018,1 April 2018,4,Illness
Emmanuel Mudiay,Knicks,26 March 2018,28 March 2018,2,Illness
Jeff Green,Cavaliers,25 March 2018,27 March 2018,2,Illness
Jrue Holiday,Pelicans,20 March 2018,21 March 2018,1,Illness
Marc Gasol,Grizzlies,19 March 2018,21 March 2018,2,Illness
Al Horford,Celtics,11 March 2018,16 March 2018,5,Illness
Jahlil Okafor,Nets,26 February 2018,4 March 2018,6,Illness
JaMychal Green,Grizzlies,02 March 2018,3 March 2018,1,Illness
Clint Capela,Rockets,26 February 2018,28 February 2018,2,Illness
Eric Gordon,Rockets,23 February 2018,28 February 2018,5,Illness
Danny Green,Spurs,23 February 2018,25 February 2018,2,Illness
Markieff Morris,Wizards,10 February 2018,14 February 2018,4,Illness
Victor Oladipo,Pacers,05 February 2018,7 February 2018,2,Illness
Ersan Ilyasova,Hawks,04 February 2018,6 February 2018,2,Illness
Hassan Whiteside,Heat,03 February 2018,5 February 2018,2,Illness
Mike Scott,Wizards,03 February 2018,5 February 2018,2,Illness
Wilson Chandler,Nuggets,29 January 2018,1 February 2018,3,Illness
Tyson Chandler,Suns,26 January 2018,28 January 2018,2,Illness
Marc Gasol,Grizzlies,17 January 2018,19 January 2018,2,Illness
Evan Turner,Blazers,12 January 2018,14 January 2018,2,Illness
Jared Dudley,Suns,02 January 2018,7 January 2018,5,Illness
T.J. Warren,Suns,05 January 2018,7 January 2018,2,Illness
Juancho Hernangomez,Nuggets,30 December 2017,2 January 2018,3,Illness
George Hill,Kings,19 December 2017,20 December 2017,1,Illness
Meyers Leonard,Blazers,13 December 2017,14 December 2017,1,Illness
Joe Harris,Nets,09 December 2017,12 December 2017,3,Illness
DeMarre Carroll,Nets,27 November 2017,29 November 2017,2,Illness
Joakim Noah,Knicks,24 November 2017,27 November 2017,3,Illness
Richaun Holmes,76ers,20 November 2017,22 November 2017,2,Illness
Tyson Chandler,Suns,16 November 2017,22 November 2017,6,Illness
Tyler Zeller,Nets,10 November 2017,11 November 2017,1,Illness
Tyler Johnson,Heat,08 November 2017,10 November 2017,2,Illness
Frank Kaminsky,Hornets,29 October 2017,30 October 2017,1,Illness
Jahlil Okafor,76ers,18 October 2017,21 October 2017,3,Illness
Dewayne Dedmon,Spurs,22 April 2017,25 April 2017,3,Illness
James Harden,Rockets,02 April 2017,5 April 2017,3,Illness
T.J. Warren,Suns,02 April 2017,5 April 2017,3,Illness
Taj Gibson,Thunder,31 March 2017,2 April 2017,2,Illness
Avery Bradley,Celtics,24 March 2017,26 March 2017,2,Illness
Danilo Gallinari,Nuggets,08 March 2017,10 March 2017,2,Illness
Nikola Jokic,Nuggets,06 March 2017,10 March 2017,4,Illness
Tyler Zeller,Celtics,03 March 2017,5 March 2017,2,Illness
Caris LeVert,Nets,25 February 2017,28 February 2017,3,Illness
LeBron James,Cavaliers,25 February 2017,27 February 2017,2,Illness
Wilson Chandler,Nuggets,13 February 2017,23 February 2017,10,Illness
Reggie Bullock,Pistons,06 February 2017,8 February 2017,2,Illness
Julius Randle,Lakers,03 February 2017,6 February 2017,3,Illness
Jared Dudley,Suns,01 February 2017,4 February 2017,3,Illness
Kristaps Porzingis,Knicks,31 January 2017,1 February 2017,1,Illness
Tyler Zeller,Celtics,03 January 2017,21 January 2017,18,Illness
Jimmy Butler,Bulls,10 January 2017,14 January 2017,4,Illness
Cody Zeller,Hornets,09 January 2017,13 January 2017,4,Illness
Nikola Jokic,Nuggets,06 January 2017,12 January 2017,6,Illness
Austin Rivers,Clippers,08 January 2017,11 January 2017,3,Illness
Giannis Antetokounmpo,Bucks,08 January 2017,10 January 2017,2,Illness
Kevin Love,Cavaliers,04 January 2017,6 January 2017,2,Illness
James Johnson,Heat,03 January 2017,4 January 2017,1,Illness
Avery Bradley,Celtics,30 December 2016,3 January 2017,4,Illness
Kyle Korver,Hawks,23 December 2016,26 December 2016,3,Illness
Tyler Johnson,Heat,16 December 2016,18 December 2016,2,Illness
Joakim Noah,Knicks,20 November 2016,25 November 2016,5,Illness
Richaun Holmes,76ers,23 November 2016,25 November 2016,2,Illness
Rodney Hood,Jazz,14 November 2016,17 November 2016,3,Illness
Jusuf Nurkic,Nuggets,28 March 2016,2 April 2016,5,Illness
Goran Dragic,Heat,28 March 2016,30 March 2016,2,Illness
Kentavious Caldwell-Pope,Pistons,23 March 2016,25 March 2016,2,Illness
Reggie Bullock,Pistons,23 March 2016,25 March 2016,2,Illness
Kevin Love,Cavaliers,21 March 2016,23 March 2016,2,Illness
Willie Cauley-Stein,Kings,18 March 2016,21 March 2016,3,Illness
Udonis Haslem,Heat,27 February 2016,1 March 2016,3,Illness
Dewayne Dedmon,Magic,19 February 2016,21 February 2016,2,Illness
Ersan Ilyasova,Magic,10 February 2016,19 February 2016,9,Illness
Reggie Jackson,Pistons,10 February 2016,19 February 2016,9,Illness
Kyle Anderson,Spurs,09 February 2016,10 February 2016,1,Illness
Montrezl Harrell,Rockets,02 February 2016,6 February 2016,4,Illness
Jahlil Okafor,76ers,26 January 2016,30 January 2016,4,Illness
Lou Williams,Lakers,28 January 2016,29 January 2016,1,Illness
Nicolas Batum,Hornets,17 December 2015,19 December 2015,2,Illness
Clint Capela,Rockets,14 December 2015,15 December 2015,1,Illness
J.R. Smith,Cavaliers,11 December 2015,15 December 2015,4,Illness
Markieff Morris,Suns,09 December 2015,11 December 2015,2,Illness
Carmelo Anthony,Knicks,29 November 2015,2 December 2015,3,Illness
Tyson Chandler,Suns,25 November 2015,27 November 2015,2,Illness
T.J. Warren,Suns,18 November 2015,20 November 2015,2,Illness
Andre Roberson,Thunder,16 November 2015,18 November 2015,2,Illness
Udonis Haslem,Heat,31 March 2015,4 April 2015,4,Illness
Rodney Hood,Jazz,25 March 2015,28 March 2015,3,Illness
Taj Gibson,Bulls,23 February 2015,25 February 2015,2,Illness
Ersan Ilyasova,Bucks,20 February 2015,21 February 2015,1,Illness
JaVale McGee,Nuggets,03 February 2015,9 February 2015,6,Illness
Jimmy Butler,Bulls,27 January 2015,29 January 2015,2,Illness
Al Horford,Hawks,30 December 2014,2 January 2015,3,Illness
Derrick Rose,Bulls,18 December 2014,22 December 2014,4,Illness
DeMarcus Cousins,Kings,28 November 2014,18 December 2014,20,Illness
Thabo Sefolosha,Hawks,26 November 2014,29 November 2014,3,Illness
Joakim Noah,Bulls,04 November 2014,7 November 2014,3,Illness
Rudy Gay,Kings,07 February 2014,9 February 2014,2,Illness
Dion Waiters,Cavaliers,15 November 2013,20 November 2013,5,Illness
Ersan Ilyasova,Bucks,10 April 2013,12 April 2013,2,Illness
Udonis Haslem,Heat,10 December 2012,12 December 2012,2,Illness